Order,Family,Genus,Species,SVLMMx,SVLFMx,SVLMx,Longevity,NestingSite,ClutchMin,ClutchMax,Clutch,ParityMode,EggDiameter,Activity,Microhabitat,GeographicRegion,IUCN,PopTrend,RangeSize,ElevationMin,ElevationMax,Elevation
Anura,Allophrynidae,Allophryne,relicta,21.9,,21.9,,,,,,,,Nocturnal,Bushes/Trees,South America,,,,90.0,90.0,90.0
Anura,Allophrynidae,Allophryne,resplendens,,28.4,28.4,,,,,,,,,Bushes/Trees,South America,,,,78.0,120.0,99.0
Anura,Allophrynidae,Allophryne,ruthveni,25.0,27.5,31.0,,Vegetation,300.0,300.0,300.0,Larval,1.0,Cathemeral,Bushes/Trees,South America,LC,Decreasing,2831429.70859,0.0,300.0,150.0
merge sanity check,merge sanity check,merge sanity check,merge sanity check,,,,,,,,,,,,,,,,,,,
pending object check,pending object check,pending object check,pending object check,,,,,,,,,,,,,,,,,,,
an order,a family,a genus,a species,,,,,a nesting site,,,,,,,,,,,,,,
Order - e.g. Anura,Family - e.g. Allophrynidae,Genus - e.g. Allophryne,Species - e.g. Relicta,,,,,merge sanity,,,,,,,,,,,,,,
new order with json,new family with json,new genus with json,new species with json,,90.0,,new long with json,new nest with json,,,,,,,,,,,,,,
an user order,a user family,a new genus,a brand new species,,,,,a new nesting site,,,,,,a new activty,,,,,,,,
data type check,data type check,data type check,data type check,666.0,,,,,,,,,,,,,,,,,,
complete data check,complete data check,complete data check,complete data check,42.0,,42.0,42,,42.0,42.0,,,42.0,,,,,,42.0,,42.0,42.0
float check,float check,float check,float check,42.3,,,,,42.666,,,,,,,,,,42.5868687878,,42.79895948,
